no,title,link
0," [PlayX4] 반다이남코, 엘든링 밤의 통치자 등 화려한 라인업으로 시선집중 ",http://v.daum.net/v/20250523130601692
1, 엘든 링: 밤의 통치자 ,http://v.daum.net/v/20250522132904698
2," 반남코, '엘든링 밤의 통치자' 패키지 선주문 판매 돌입! ",http://v.daum.net/v/20250507174543279
3," [동영상] 이제 진짜 곧 나오는 엘든링 협동게임, 론칭 트레일러도 공개! ",http://v.daum.net/v/20250528161203825
4," 이재명, 3권 아우를 때 독재 안 하는 게 비현실적 [이진곤의 그건 아니지요] ",http://v.daum.net/v/20250528080808143
5," 엘밤통, 확인된 보스 종류만 최소 72종 ",http://v.daum.net/v/20250527120209615
6, 전 세계 300만 장 판매 '엘든 링' 영화화....스핀오프 게임도 출시 ,http://v.daum.net/v/20250526142612831
7," 반다이남코, 2025 플레이엑스포서 '엘든 링 밤의 통치자' 특별전 실시 ",http://v.daum.net/v/20250423142923436
8, 최대 규모 갱신한 플레이엑스포 2025 폐막.. 국내 최대 종합 게임쇼로 '성장중' ,http://v.daum.net/v/20250527121802971
9, 놓치면 안 되는 '2025 플레이엑스포' 꿀잼 부스는? ,http://v.daum.net/v/20250520162630672
10," 반다이남코, '엘든 링' 실사 영화 제작 공식 발표 ",http://v.daum.net/v/20250526134202677
11, 게임 팬 모여라…수도권 최대 게임쇼 '플레이엑스포' 개막 ,http://v.daum.net/v/20250522120812986
12, [동영상] 25년 5월 4주차 신작 게임 소식 ,http://v.daum.net/v/20250526135707410
13, 9999개 한정 레플리카 '추적자의 투구' 실물 알현 ,http://v.daum.net/v/20250522125408813
14, ‘2025 플레이엑스포’ 개막…스마일게이트·네오위즈 참가 ,http://v.daum.net/v/20250522114607120
15, GOTY 게임 ‘엘든링’ 영화로 나온다…제2의 ‘왕좌의 게임’ 될까 ,http://v.daum.net/v/20250523135051845
16," 퀘이사존, '2025 플레이엑스포' 소식 '퀘이사플레이'로 전한다 ",http://v.daum.net/v/20250523170529338
17, 수도권 최대 게임쇼 '플레이엑스포 2025' 개막…'겜기도' 위상 강화 ,http://v.daum.net/v/20250522141304342
18," 이재명, 위기감 느꼈나…""내란 옹호세력이 어정쩡한 후보 내세워"" ",http://v.daum.net/v/20250514182048357
19," 엘든 링 신작, 진입장벽 낮추고 UI 개선했다 ",http://v.daum.net/v/20250509180852499
20, 게임쇼 즐기는 외국인 참관인들 ,http://v.daum.net/v/20250522143648375
21," 박용진 ""배우자 토론? 얄팍…김용태, 권성동이 시키던가""[이슈전파사] ",http://v.daum.net/v/20250520132709165
22, '핵보유국' 인도-파키스탄 갈등 격화…커지는 전쟁 공포 ,http://v.daum.net/v/20250510000057480
23, 국내 최대 게임전시회 '2025 플레이엑스포' 22~25일 킨텍스서 개최 ,http://v.daum.net/v/20250506125002653
24, 자연재해가 미뤄졌다! GTA6 내년으로 밀리니 더욱 흥미진진해진 GOTY 경쟁 ,http://v.daum.net/v/20250508161805625
25," [월간 게임톡] 둠과 엘든 링, 귀무자가 맞붙는 5월 ",http://v.daum.net/v/20250501073317879
26," 엘든 링: 밤의 통치자 ""유행에 따라 만든 게임 아냐"" ",http://v.daum.net/v/20250204114124367
27," 반다이남코, 어드벤처 협력 액션게임 '엘든 링 밤의 통치자' 5월 출시 ",http://v.daum.net/v/20250213111703358
28," 무지가 만든 비극, 질문하지 않는 미개함[EDITOR's LETTER] ",http://v.daum.net/v/20250421073102360
29, 엘든링의 스핀오프 작 '엘든링 밤의 통치자' 5월 30일 발매 확정 ,http://v.daum.net/v/20250213125100055
